Item,Qty,Reference(s),Value,Manufacturer Part #,Mouser Part #,Unit Price,Price,Carted
1,1,C1,1nF,CL21B102KBANFNC,187-CL21B102KBANFNC,0.1,0.1,
2,7,"C2, C3, C4, C5, C6, C7, C10",0.1uF, 08055D104KAT2A,581-08055D104K,0.1,0.7,
3,1,C8,100pF,0805B101M250CT,791-0805B101M250CT,0.1,0.1,
4,1,C9,2.2uF,CL21B225KOFNNNG,187-CL21B225KOFNNNG,0.12,0.12,
5,1,C11,10uF,CL21B106KOQNFNE,187-CL21B106KOQNFNE,0.23,0.23,
6,2,"D1, D3",SMF6.0A,SMF6.0A,576-SMF6.0A,0.46,0.92,
7,1,D2,SMF13A,SMF13A,637-SMF13A,0.87,0.87,
8,1,F1,200mA,F0805B0R25FSTR,581-F0805B0R25FSTR,0.54,0.54,
9,1,J1,Input HV,212528-0200,538-212528-0200,0.88,0.88,
10,1,J2,12V Power,212528-0200,538-212528-0200,0.88,0.88,
11,1,J3,Linear Voltage Output,212528-0200,538-212528-0200,0.88,0.88,
12,1,J4,Input Current,212528-0200,538-212528-0200,0.88,0.88,
13,1,PS1,PDSE1-S12-S5-M,PDSE1-S12-S5-M,490-PDSE1-S12-S5-M,3.39,3.39,
14,5,"R1, R15, R16, R13, R14",374k,CR0805-FX-3743ELF,652-CR0805FX-3743ELF,0.1,0.5,
15,4,"R2, R10, R11, R12",100,RMCF0805FT100R,708-RMCF0805FT100R,0.1,0.4,
16,4,"R3, R4, R5, R6",1k,RMCF0805FT1K00,708-RMCF0805FT1K00,0.1,0.4,
17,2,"R7, R8",15k,RMCF0805FT15K0,708-RMCF0805FT15K0,0.11,0.22,
18,1,U1,AMC1100DUB,AMC1100DUB,595-AMC1100DUB,6.21,6.21,
19,1,U2,L7805,L7805ACD2T-TR,511-L7805ACD2T-TR,1.08,1.08,
20,1,U3,OPA196xDBV,TS507CLT,511-TS507CLT,2.14,2.14,
21,1,R17,0,CR0805AJ/-000EAS,652-CR0805AJ/-000EAS,0.1,0.1,
total:,,,,,,,21.54,
