Item,Qty,Reference(s),Value,Footprint,Manufacturer Part #,Distributor,Distributor Part #,Unit Cost,Cost,Carted
1,3,"C1, C2, C3",0.1uF,C_0805_2012Metric,08055D104KAT2A,Digikey,478-12790-1-ND,0.1,0.3,
2,1,D1,1N4148W,D_SOD-123,1N4148W,Digikey,1655-1N4148WCT-ND,0.13,0.13,
3,1,D2,SMF6.0A,D_SOD-123F,SMF6.0A,Digikey,F5749CT-ND,0.45,0.45,
4,1,D3,SMF13A,D_SOD-123F,SMF13A,Digikey,F5815CT-ND,0.47,0.47,
5,1,J1,12V Power,MOLEX_2125280200,212528-0200,Digikey,900-2125280200-ND,1.13,1.13,
6,1,J2,Signal Input,MOLEX_2125280200,212528-0200,Digikey,900-2125280200-ND,1.13,1.13,
7,1,J3,Interlock Passthrough,MOLEX_2125280200,212528-0200,Digikey,900-2125280200-ND,1.13,1.13,
8,1,K1,G5Q-1A,Relay_SPST_Omron-G5Q-1A,G5Q-1A4 DC12,Digikey,Z223-ND,1.63,1.63,
9,2,"R1, R4",1k,R_0805_2012Metric,RNCP0805FTD1K00,Digikey,RNCP0805FTD1K00CT-ND,0.1,0.2,
10,4,"R3, R5, R6, R7",10k,R_0805_2012Metric,RNCP0805FTD10K0,Digikey,RNCP0805FTD10K0CT-ND,0.1,0.4,
11,1,RV1,10k,Potentiometer_Bourns_3266W,3266W-1-103LF,Digikey,3266W-103LF-ND,4.2,4.2,
12,1,U1,LM311,SOIC-8_3.9x4.9mm_P1.27mm,LM311D,Digikey,497-19620-ND,0.67,0.67,
13,1,U2,LM4040DBZ-2.5,SOT-23,LM4040C25FTA,Digikey,LM4040C25FCT-ND,0.57,0.57,
14,2,"TP1, TP2",TestPoint,TestPointLoop_1.8mm,1038,Digikey,36-1038-ND,0.25,0.5,
15,1,U3,NE555D,SOIC-8_3.9x4.9mm_P1.27mm,NE555DR,Digikey,296-6501-1-ND,0.44,0.44,
Total:,,,,,,,,,13.35,
